gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
womens,2019-03-17,0,1.0,0.999698517977,0.971363893724,0.897835151623,0.814667698317,0.503733222943,0.301766695066,1,1,87,Notre Dame,106.24,Chicago,1,96
womens,2019-03-17,0,1.0,0.999330739863,0.985616686516,0.868438979378,0.759911671453,0.520384234361,0.283772938954,1,1,239,Baylor,105.81,Greensboro,1,0
womens,2019-03-17,0,1.0,0.998963419198,0.97143423049,0.87587206576,0.679761194184,0.345588481553,0.187610296747,1,1,41,Connecticut,104.53,Albany,2,92
womens,2019-03-17,0,1.0,0.999326240794,0.977450022477,0.875108993459,0.436685560646,0.222208098479,0.10304788053,1,1,344,Mississippi State,102.18,Portland,1,32
womens,2019-03-17,0,1.0,0.992037270359,0.923692917102,0.845449608051,0.513384533316,0.186477178036,0.058056942856,1,1,2483,Oregon,100.19,Portland,2,60
womens,2019-03-17,0,1.0,0.997174973847,0.942346122539,0.754891816107,0.244535122762,0.096136733007,0.040939899451,1,1,97,Louisville,99.65,Albany,1,64
womens,2019-03-17,0,1.0,0.959763780988,0.921644616187,0.562435265646,0.083494812375,0.021192913533,0.005524933938,1,1,24,Stanford,95.49,Chicago,2,124
womens,2019-03-17,0,1.0,0.968536021005,0.76399114562,0.418379506482,0.074701944125,0.020365861091,0.003765053547,1,1,2294,Iowa,92.14,Greensboro,2,28
womens,2019-03-17,0,1.0,0.899738724143,0.699354664452,0.104923602455,0.061141033808,0.017728376193,0.003508713632,1,1,2579,South Carolina,91.2,Greensboro,4,12
womens,2019-03-17,0,1.0,0.935541727576,0.71591730728,0.39907927523,0.074927233875,0.018279496777,0.003000872784,1,1,152,North Carolina State,90.16,Greensboro,3,20
womens,2019-03-17,0,1.0,0.857612997531,0.435910944352,0.059282984774,0.036631378375,0.008512550847,0.002056190644,1,1,269,Marquette,92.27,Chicago,5,104
womens,2019-03-17,0,1.0,0.977395089926,0.756074228455,0.096538981908,0.035431588156,0.007327969662,0.001659972956,1,1,120,Maryland,91.47,Albany,3,84
womens,2019-03-17,0,1.0,0.959875983169,0.834867019583,0.207365568398,0.030958529607,0.006277135336,0.001393550442,1,1,204,Oregon State,93.35,Albany,4,76
womens,2019-03-17,0,1.0,0.829191126008,0.341063635582,0.173705263557,0.024693318053,0.004052691631,0.000711023104,1,1,305,DePaul,88.87,Chicago,6,112
